0.9375	Ti	Ti
0.0625	Ti	Tı̀
0.5108	me	mɛ̀
0.4534	me	mɛ
0.0343	me	mɛ̂
0.0016	me	mɛ̄
0.7222	bot	ɓɔ̀t
0.2778	bot	ɓɔ̂t
0.8125	yem.	yɛ̂m.
0.1875	yem.	yɛ̀m.
1.0000	Mimañ	Mı̀maŋ
0.9938	mi	mi
0.0063	mi	mı̄
0.2353	bôdaa	ɓodàa
0.1765	bôdaa	ɓòdàà
0.5294	bôdaa	ɓòdàa
0.0588	bôdaa	ɓodàà
1.0000	ñañna	ŋâŋnā
0.2743	ni	ni
0.7126	ni	nı̀
0.0118	ni	nı̄
0.0013	ni	nì
0.7500	jomol.	jɔ̀mɔ̂l.
0.2500	jomol.	jɔmɔ̂l.
0.9866	Me	Mɛ̀
0.0134	Me	Mɛ
1.0000	bibagla	biɓāgla
0.5127	bôt	ɓòt
0.4873	bôt	ɓôt
1.0000	bem,	ɓɛ̂m,
1.0000	bem.	ɓɛ̂m.
1.0000	"Nu	"Nu
0.9699	a	à
0.0291	a	a
0.0009	a	ā
0.2105	ñôm	ŋōm
0.4737	ñôm	ŋ̀om
0.1579	ñôm	ŋom
0.0526	ñôm	ŋ̀òm
0.1053	ñôm	ŋòm
0.6164	bés	ɓes
0.1781	bés	ɓěs
0.1918	bés	ɓès
0.0137	bés	ɓês
0.2174	béé	ɓèe
0.3913	béé	ɓee
0.1522	béé	ɓēe
0.0652	béé	ɓèè
0.1522	béé	ɓeè
0.0217	béé	ɓeē
0.3846	makôô	makòò
0.4615	makôô	màkòò
0.0769	makôô	makōo
0.0769	makôô	makòo
0.6176	isi	isı̄
0.3235	isi	isi
0.0588	isi	ı̄sı̄
0.5000	siñ	sı̂ŋ
0.5000	siñ	sı̀ŋ
0.6736	i	i
0.2706	i	ı̀
0.0534	i	ı̄
0.0021	i	ı̂
0.0004	i	ì
1.0000	Kristô..."	Krı̌stò..."
1.0000	(2kor.1,21).	(2Kɔ̀r.1,21).
1.0000	galo	galɔ̀
1.0000	ga	ga
1.0000	ha,	hâ,
1.0000	tehe.	tɛhɛ.
0.9908	A	À
0.0071	A	A
0.0010	A	À̀
0.0010	A	Á
1.0000	mbéhha	m̂ɓehha
0.3333	kwade.	kwādɛ.
0.6667	kwade.	kwadɛ.
1.0000	ñwabal	ŋ́wàbal
0.3846	koo	kɔɔ
0.3077	koo	kɔ̀ɔ̀
0.1538	koo	kɔɔ̀
0.0769	koo	kɔɔ̂
0.0769	koo	kɔ̄ɔ̄
0.5789	e.	ɛ̄.
0.4211	e.	ɛ.
0.5000	nlem	ǹlɛm
0.5000	nlem	nlɛ̄m
0.8000	hala.	halà.
0.2000	hala.	hālà.
0.4000	Ñem	Ŋɛm
0.6000	Ñem	Ŋ̀ɛm
0.5708	u	u
0.4199	u	ù
0.0051	u	ū
0.0041	u	û
0.1875	mbôô	mɓoo
0.1875	mbôô	m̂ɓoo
0.1250	mbôô	mbòo
0.3750	mbôô	mboo
0.0625	mbôô	mɓōo
0.0625	mbôô	mɓòò
0.1667	matjél.	màcèl.
0.6667	matjél.	macèl.
0.1667	matjél.	màcěl.
0.9310	Kôp	Kop
0.0690	Kôp	Kòp
0.3750	ñkek	ŋ̀kɛk
0.2500	ñkek	ŋkɛ̄k
0.1250	ñkek	ŋkɛ̂k
0.1250	ñkek	ŋ̀kɛ̂k
0.1250	ñkek	ŋkɛk
0.7143	bon.	ɓɔn.
0.2857	bon.	ɓɔ̌n.
0.4953	yé	yè
0.4817	yé	ye
0.0204	yé	yê
0.0027	yé	yē
1.0000	ñwaak.	ŋ̀waâk.
1.0000	Pohol	Pɔ̀hɔl
1.0000	ñwind	ŋwı̀nd
0.6000	bitôñ	bitòŋ
0.4000	bitôñ	bı̀tòŋ
0.8182	nsômbôl	nsòmbol
0.1364	nsômbôl	ǹsombol
0.0455	nsômbôl	nsòmbòl
1.0000	somb.	sɔmb.
0.6667	Bol	Bɔ̂l
0.3333	Bol	Ɓɔl
1.0000	nsagbene	ǹsagɓɛnɛ
0.9091	(i	(i
0.0909	(i	(ı̄
1.0000	lién)	lı̀en)
0.3846	lién.	liēn.
0.0769	lién.	lı̀en.
0.5385	lién.	lien.
0.3333	Adam	Adam
0.6667	Adam	Adàm
0.9324	bo	ɓɔ
0.0405	bo	ɓɔ̀
0.0270	bo	ɓɔ̄
1.0000	Éva	Eva
0.9660	ba	ɓa
0.0073	ba	ɓâ
0.0267	ba	ɓā
0.5000	kôñôô	koŋōo
0.5000	kôñôô	koŋòò
0.5914	ki	ki
0.3333	ki	kı̀
0.0538	ki	kı̂
0.0215	ki	kı̄
0.5000	tjay	cǎy
0.2000	tjay	cây
0.2000	tjay	cày
0.1000	tjay	cay
0.4132	di	di
0.5689	di	dı̀
0.0180	di	dı̄
0.7143	e	ɛ
0.2857	e	ɛ̄
1.0000	faygé,	faygè,
0.4000	bôñôl	ɓoŋōl
0.3000	bôñôl	ɓòŋol
0.1000	bôñôl	ɓoŋòl
0.2000	bôñôl	ɓòŋòl
0.6667	bomede	ɓɔmɛ̀dɛ
0.3333	bomede	ɓɔ̄mɛ̀dɛ
0.5000	malebe	malɛ̀bɛ̀
0.5000	malebe	màlɛ̀bɛ
0.9630	(Bib	(Bı̀ɓ
0.0370	(Bib	(Bı̀b
1.0000	3,7b).	3,7b).
1.0000	Liabak	Liābâk
0.9766	li	li
0.0087	li	lı̂
0.0130	li	lı̄
0.0017	li	lı̀
0.4576	bijek	bijɛk
0.0339	bijek	bijɛ̄k
0.5085	bijek	bı̀jɛk
1.0000	libe.	lı̀ɓɛ.
1.0000	nnôndôl	ǹnondōl
0.1667	mbôñ.	mbòŋ.
0.3333	mbôñ.	mɓòŋ.
0.3667	mbôñ.	m̂ɓòŋ.
0.1000	mbôñ.	mbôŋ.
0.0333	mbôñ.	m̂ɓoŋ.
1.0000	Mañge	Màŋgɛ
0.6667	mbôlôl	m̂ɓolol
0.3333	mbôlôl	mɓolōl
0.7606	hana	hana
0.2394	hana	hāna
0.5510	len	lɛ̀n
0.3673	len	lɛ̂n
0.0816	len	lɛ̌n
1.0000	ju	jû
0.5849	mam	màm
0.4151	mam	mâm
0.9696	ma	ma
0.0217	ma	mā
0.0043	ma	mâ
0.0043	ma	mà
0.6000	ñgeñ	ŋgɛŋ
0.4000	ñgeñ	ŋgɛ̄ŋ
1.0000	ina.	inâ.
1.0000	Mawanda	Màwanda
0.5000	nyégna	ńyēgnà
0.5000	nyégna	ńyègnà
0.8846	bé.	ɓe.
0.1154	bé.	ɓē.
0.2222	Kii	Kı̀i
0.7540	Kii	Kii
0.0079	Kii	Kiı̂
0.0159	Kii	Kı̀ı̀
1.0000	ñôdôk	ŋodōk
0.4737	man	man
0.4145	man	mǎn
0.1053	man	màn
0.0066	man	mān
1.0000	sibe	sı̀bɛ̀
0.5000	bol	ɓɔl
0.1667	bol	bɔ̂l
0.3333	bol	ɓɔ̄l
0.3000	sañ.	sâŋ.
0.7000	sañ.	sàŋ.
0.9775	Boñge	Ɓɔ̀ŋgɛ
0.0112	Boñge	Ɓɔŋgɛ
0.0112	Boñge	Ɓɔ̀̀ŋgɛ
1.0000	(ñ)ubha	(ŋ)ûbha
0.6429	mambot	mambɔt
0.3571	mambot	màmbɔt
1.0000	map.	map.
0.6136	nnol	ǹnɔl
0.1818	nnol	nnɔ̄l
0.1364	nnol	nnɔ̀l
0.0682	nnol	nnɔl
1.0000	hitoñgi	hitɔŋgi
0.6250	ndamb.	ndàmb.
0.3750	ndamb.	ndâmb.
1.0000	Bôñgô	Ɓòŋgo
0.6667	masin	màsı̂n
0.3333	masin	ması̂n
0.8571	nyen	nyɛn
0.1429	nyen	nyɛ̄n
0.8621	nye	nyɛ
0.1351	nye	nyɛ̄
0.0029	nye	ǹyɛ
0.3333	bégél	ɓegel
0.5000	bégél	ɓēgel
0.1667	bégél	ɓègel
0.1304	ñño.	ŋŋɔ.
0.3478	ñño.	ŋ̀ŋɔ.
0.5217	ñño.	ŋŋɔ̄.
1.0000	Hiônde	Hı̀òndɛ̀
0.9618	hi	hi
0.0382	hi	hı̄
0.5000	nséa.	nseā.
0.5000	nséa.	nseâ.
0.9286	Inyuu	Inyùu
0.0714	Inyuu	Inyùù
0.6923	nyén	ńyèn
0.2308	nyén	ǹyên
0.0769	nyén	ńyên
1.0000	Yérusalem,	Yèrusàlɛ̀m,
1.0000	gayila	gayı̀la
1.0000	kédi	kedı̄
0.8889	hyandi	hyàndi
0.1111	hyandi	hyandi
0.9750	(Yés	(Yès
0.0250	(Yés	(Yes
1.0000	8,14).	8,14).
0.5000	Hundul	Hùndùl
0.5000	Hundul	Hundul
0.3333	ntagbe.	ǹtagɓɛ̀.
0.3333	ntagbe.	ntagɓɛ̀.
0.3333	ntagbe.	ntāgɓɛ̀.
1.0000	Haana	Haana
0.2568	ta	tà
0.6892	ta	ta
0.0541	ta	tâ
0.8452	bé	ɓe
0.1400	bé	ɓē
0.0147	bé	ɓê
1.0000	liboñok	liɓɔŋɔ̂k
0.8125	lilam.	lı̀lam.
0.1875	lilam.	lilam.
1.0000	Nlôm	Ǹlom
0.5000	buk;	ɓūk;
0.5000	buk;	ɓuk;
0.5667	nlôm	ǹlom
0.2333	nlôm	nlom
0.1667	nlôm	nlōm
0.0333	nlôm	ǹlòm
0.6875	nu	nu
0.2396	nu	nû
0.0729	nu	nū
0.3333	ntôñ	ǹtoŋ
0.1667	ntôñ	ntōŋ
0.4167	ntôñ	ntoŋ
0.0833	ntôñ	ntòŋ
0.7500	bibuk.	biɓuk.
0.2500	bibuk.	bı̀ɓuk.
1.0000	Nunu	Nunu
0.6749	mut	mùt
0.3251	mut	mût
1.0000	mpémbaha	mpèmbaha
0.4000	kiñ.	kiŋ.
0.6000	kiñ.	kı̄ŋ.
1.0000	Diyana	Dı̀yàna
0.2500	tjoñ	cɔ̄ŋ
0.7500	tjoñ	cɔŋ
0.6250	nhôla	nhōla
0.3125	nhôla	ǹhola
0.0625	nhôla	ǹholâ
0.9184	to	tɔ̀
0.0816	to	tɔ
0.6500	jam.	jàm.
0.3250	jam.	jâm.
0.0250	jam.	jǎm.
1.0000	Ba	Ɓa
0.3333	ntém	ntem
0.3333	ntém	ǹtem
0.3333	ntém	ntēm
1.0000	mbôgsi	m̂ɓògsi
0.9524	unu	unu
0.0476	unu	ūnu
0.6000	moo.	mɔ̀ɔ.
0.4000	moo.	mɔɔ.
0.2000	nje	ǹjɛ
0.6211	nje	njɛ̄
0.1789	nje	njɛ
1.0000	boña	ɓɔŋā
0.0714	kôy.	kōy.
0.9286	kôy.	koy.
1.0000	Liwanda	Lı̀wanda
0.4545	ñem	ŋɛm
0.2727	ñem	ŋɛ̄m
0.2727	ñem	ŋ̀ɛm
0.5714	nyuu.	nyuu.
0.3929	nyuu.	nyùu.
0.0357	nyuu.	nyùù.
1.0000	Bibédél	Bı̀ɓedel
0.9557	bi	bi
0.0399	bi	bı̄
0.0044	bi	bı̀
1.0000	(ndiô)	(ndı̀ò)
0.6000	haa	hàà
0.2000	haa	haà
0.2000	haa	haa
0.6154	ñgii.	ŋgı̀ı̀.
0.2308	ñgii.	ŋgı̀i.
0.1538	ñgii.	ŋgiı̀.
1.0000	nsomb	ǹsɔmb
1.0000	bibogol	biɓɔ̀gɔ̀l
0.7857	nyaga.	nyagà.
0.2143	nyaga.	nyàgà.
0.9333	Ñgwo	Ŋgwɔ
0.0667	Ñgwo	Ŋ̀gwɔ
0.0377	nla	ǹla
0.9623	nla	nlà
0.3333	sôya.	soya.
0.6667	sôya.	sōya.
